extra_flag;license;name;required_packages;summary;version
False;BSD;numpy;fake_package;NumPy is the fundamental package for array computing with Python.;1.21.4
False;BSD;hiredis;fake_package;Python wrapper for hiredis;2.0.0
False;MIT;six;fake_package;Python 2 and 3 compatibility utilities;1.16.0
False;MIT;chevron;fake_package;Mustache templating language renderer;0.14.0
False;new BSD License;decorator;fake_package;Decorators for Humans;5.1.0
False;Apache Software License;regex;fake_package;Alternative regular expression module, to replace re.;2021.11.10
False;PSF;typing;fake_package;Type Hints for Python;3.10.0.0
False;MIT License;mypy-extensions;typing;Experimental type system extensions for programs checked with the mypy typechecker.;0.4.3
False;unknown license;typing-extensions;fake_package;Backported and Experimental Type Hints for Python 3.6+;4.0.1
False;PSF;pywin32;fake_package;Python for Window Extensions;302
False;UNKNOWN;unittest2;fake_package;The new features in unittest backported to Python 2.4+.;1.1.0
False;unknown license;tomli;fake_package;A lil' TOML parser;2.0.0
True;Apache 2.0;coverage;tomli;Code coverage measurement for Python;6.2
True;unknown license;lxml-stubs;pytest;Type annotations for the lxml package;0.3.0
True;unknown license;lxml-stubs;pytest-mypy-plugins;Type annotations for the lxml package;0.3.0
True;unknown license;lxml-stubs;coverage;Type annotations for the lxml package;0.3.0
False;Expat license;mccabe;fake_package;McCabe checker, plugin for flake8;0.6.1
False;Apache-2.0 license;types-toml;fake_package;Typing stubs for toml;0.10.1
False;BSD License;pytest-flake8;pytest;pytest plugin to check FLAKE8 requirements;1.0.7
False;BSD License;pytest-flake8;flake8;pytest plugin to check FLAKE8 requirements;1.0.7
False;MIT;pytest-black;fake_package;A pytest plugin to enable format checking with black;0.3.12
False;BSD;fields;fake_package;Container class boilerplate killer.;5.0.0
True;BSD;setproctitle;pytest;A Python module to customize the process title;1.2.2
False;GPL;python-Levenshtein;fake_package;Python extension for computing string edit distances and similarities.;0.12.2
False;MPL-2.0;certifi;fake_package;Python package for providing Mozilla's CA Bundle.;2021.10.8
False;GPL;python-levenshtein;fake_package;Python extension for computing string edit distances and similarities.;0.12.2
True;GPLv2;fuzzywuzzy;python-levenshtein;Fuzzy string matching in python;0.18.0
False;MIT;pyrsistent;fake_package;Persistent/Functional/Immutable data structures;0.18.0
False;Apache License 2.0;typed-ast;fake_package;a fork of Python 2 and 3 ast modules with type comment support;1.5.1
False;MIT;flake8-annotations;typed-ast;Flake8 Type Annotation Checks;2.7.0
False;MIT;flake8-annotations;flake8;Flake8 Type Annotation Checks;2.7.0
False;MIT;flake8-polyfill;flake8;Polyfill package for Flake8 plugins;1.0.2
False;Expat license;pep8-naming;flake8-polyfill;Check PEP-8 naming conventions, plugin for flake8;0.12.1
False;Expat license;pep8-naming;flake8;Check PEP-8 naming conventions, plugin for flake8;0.12.1
False;MIT;flake8-type-annotations;flake8;Flake8 plugin to enforce consistent type annotation styles;0.1.0
False;Expat license;pycodestyle;fake_package;Python style guide checker;2.8.0
False;BSD License;enum34;fake_package;Python 3.4 Enum backported to 3.3, 3.2, 3.1, 2.7, 2.6, 2.5, and 2.4;1.1.10
False;LGPLv3;flake8-import-order;pycodestyle;Flake8 and pylama plugin that checks the ordering of import statements.;0.18.1
False;LGPLv3;flake8-import-order;setuptools;Flake8 and pylama plugin that checks the ordering of import statements.;0.18.1
False;LGPLv3;flake8-import-order;enum34;Flake8 and pylama plugin that checks the ordering of import statements.;0.18.1
False;MIT;toml;fake_package;Python Library for Tom's Obvious, Minimal Language;0.10.2
False;BSD-3-Clause;snowballstemmer;fake_package;This package provides 29 stemmers for 28 languages generated from Snowball algorithms.;2.2.0
True;MIT;pydocstyle;toml;Python docstring style checker;6.1.1
False;MIT;pydocstyle;snowballstemmer;Python docstring style checker;6.1.1
False;MIT License;flake8-docstrings;pydocstyle;Extension for flake8 which uses pydocstyle to check docstrings;1.6.0
False;MIT License;flake8-docstrings;flake8;Extension for flake8 which uses pydocstyle to check docstrings;1.6.0
True;unknown license;uri-template;flake8-annotations;RFC 6570 URI Template Processor;1.1.0
True;unknown license;uri-template;pep8-naming;RFC 6570 URI Template Processor;1.1.0
True;unknown license;uri-template;flake8-type-annotations;RFC 6570 URI Template Processor;1.1.0
True;unknown license;uri-template;flake8-import-order;RFC 6570 URI Template Processor;1.1.0
True;unknown license;uri-template;mypy;RFC 6570 URI Template Processor;1.1.0
True;unknown license;uri-template;flake8-docstrings;RFC 6570 URI Template Processor;1.1.0
True;unknown license;uri-template;flake8;RFC 6570 URI Template Processor;1.1.0
True;unknown license;importlib-resources;pytest-checkdocs;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;rst.linker;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;sphinx;Read resources from Python packages;5.4.0
False;unknown license;importlib-resources;zipp;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;pytest-mypy;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;pytest-enabler;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;pytest;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;pytest-flake8;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;pytest-black;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;jaraco.packaging;Read resources from Python packages;5.4.0
True;unknown license;importlib-resources;pytest-cov;Read resources from Python packages;5.4.0
False;MIT license;rfc3986-validator;fake_package;Pure python rfc3986 validator;0.1.1
False;BSD-3-Clause;idna;fake_package;Internationalized Domain Names in Applications (IDNA);3.3
False;MIT license;rfc3339-validator;six;A pure python RFC3339 validator;0.1.4
False;GNU GPLv3+;rfc3987;fake_package;Parsing and validation of URIs (RFC 3986) and IRIs (RFC 3987);1.3.8
False;BSD 3-Clause;webcolors;fake_package;A library for working with color names and color values formats defined by HTML and CSS.;1.11.1
False;BSD;cached-property;fake_package;A decorator for caching properties in classes.;1.5.2
False;MPL 2.0;fqdn;cached-property;Validates fully-qualified domain names against RFC 1123, so that they are acceptable to modern bowsers;1.5.1
False;Modified BSD License;jsonpointer;fake_package;Identify specific nodes in a JSON document (RFC 6901);2.2
False;Dual License;python-dateutil;six;Extensions to the standard Python datetime module;2.8.2
False;Apache 2.0;arrow;typing-extensions;Better dates & times for Python;1.2.1
False;Apache 2.0;arrow;python-dateutil;Better dates & times for Python;1.2.1
False;unknown license;isoduration;arrow;Operations with ISO 8601 durations;20.11.0
False;MIT;jsonschema;pyrsistent;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;uri-template;An implementation of JSON Schema validation for Python;4.3.1
False;MIT;jsonschema;typing-extensions;An implementation of JSON Schema validation for Python;4.3.1
False;MIT;jsonschema;importlib-resources;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;rfc3986-validator;An implementation of JSON Schema validation for Python;4.3.1
False;MIT;jsonschema;importlib-metadata;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;idna;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;rfc3339-validator;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;rfc3987;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;webcolors;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;fqdn;An implementation of JSON Schema validation for Python;4.3.1
False;MIT;jsonschema;attrs;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;jsonpointer;An implementation of JSON Schema validation for Python;4.3.1
True;MIT;jsonschema;isoduration;An implementation of JSON Schema validation for Python;4.3.1
True;MIT License;sphobjinv;python-Levenshtein;Sphinx objects.inv Inspection/Manipulation Tool;2.1
False;MIT License;sphobjinv;certifi;Sphinx objects.inv Inspection/Manipulation Tool;2.1
False;MIT License;sphobjinv;attrs;Sphinx objects.inv Inspection/Manipulation Tool;2.1
False;MIT License;sphobjinv;fuzzywuzzy;Sphinx objects.inv Inspection/Manipulation Tool;2.1
False;MIT License;sphobjinv;jsonschema;Sphinx objects.inv Inspection/Manipulation Tool;2.1
False;Apache;dataclasses;fake_package;A backport of the dataclasses module for Python 3.6;0.8
True;MIT;sphinx-autodoc-typehints;typing-extensions;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
True;MIT;sphinx-autodoc-typehints;sphobjinv;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
True;MIT;sphinx-autodoc-typehints;pytest;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
True;MIT;sphinx-autodoc-typehints;dataclasses;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
False;MIT;sphinx-autodoc-typehints;Sphinx;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
True;MIT;sphinx-autodoc-typehints;Sphinx;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
True;MIT;sphinx-autodoc-typehints;typed-ast;Type hints (PEP 484) support for the Sphinx autodoc extension;1.12.0
False;MIT;pytest-timeout;pytest;pytest plugin to abort hanging tests;2.0.2
False;MIT;covdefaults;coverage;A coverage plugin to provide sensible default settings;2.1.0
False;PSF;matplotlib;fake_package;Python plotting package;3.5.1
False;MIT;PyYAML;fake_package;YAML parser and emitter for Python;6.0
False;MIT;latexcodec;six;A lexer and codec to work with LaTeX code in Python.;2.0.1
False;MIT;pybtex;six;A BibTeX-compatible bibliography processor in Python;0.24.0
False;MIT;pybtex;PyYAML;A BibTeX-compatible bibliography processor in Python;0.24.0
True;MIT;pybtex;pytest;A BibTeX-compatible bibliography processor in Python;0.24.0
False;MIT;pybtex;latexcodec;A BibTeX-compatible bibliography processor in Python;0.24.0
False;public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt);docutils;fake_package;Docutils -- Python Documentation Utilities;0.18.1
False;MIT;pybtex-docutils;docutils;A docutils backend for pybtex.;1.0.1
False;MIT;pybtex-docutils;pybtex;A docutils backend for pybtex.;1.0.1
False;BSD;sphinxcontrib-bibtex;pybtex;Sphinx extension for BibTeX style citations.;2.4.1
False;BSD;sphinxcontrib-bibtex;pybtex-docutils;Sphinx extension for BibTeX style citations.;2.4.1
False;BSD;sphinxcontrib-bibtex;dataclasses;Sphinx extension for BibTeX style citations.;2.4.1
False;BSD;sphinxcontrib-bibtex;Sphinx;Sphinx extension for BibTeX style citations.;2.4.1
False;BSD;sphinxcontrib-bibtex;docutils;Sphinx extension for BibTeX style citations.;2.4.1
False;BSD;colorama;fake_package;Cross-platform colored terminal text.;0.4.4
False;BSD;livereload;fake_package;Python LiveReload is an awesome tool for web developers;2.6.3
False;MIT;sphinx-autobuild;sphinx;Rebuild Sphinx documentation on changes, with live-reload in the browser.;2021.3.14
False;MIT;sphinx-autobuild;colorama;Rebuild Sphinx documentation on changes, with live-reload in the browser.;2021.3.14
False;MIT;sphinx-autobuild;livereload;Rebuild Sphinx documentation on changes, with live-reload in the browser.;2021.3.14
True;MIT;sphinx-autobuild;pytest;Rebuild Sphinx documentation on changes, with live-reload in the browser.;2021.3.14
True;MIT;sphinx-autobuild;pytest-cov;Rebuild Sphinx documentation on changes, with live-reload in the browser.;2021.3.14
False;unknown license;sphinxext-opengraph;sphinx;Sphinx Extension to enable OGP support;0.5.1
False;BSD;smmap;fake_package;A pure Python implementation of a sliding window memory map manager;5.0.0
False;BSD License;gitdb;smmap;Git Object Database;4.0.9
False;BSD;gitpython;typing-extensions;GitPython is a python library used to interact with Git repositories;3.1.24
False;BSD;gitpython;gitdb;GitPython is a python library used to interact with Git repositories;3.1.24
False;BSD-3-Clause;click;colorama;Composable command line interface toolkit;8.0.3
False;BSD-3-Clause;click;importlib-metadata;Composable command line interface toolkit;8.0.3
False;BSD-3-Clause;MarkupSafe;fake_package;Safely add untrusted strings to HTML/XML markup.;2.0.1
False;MIT;pytz;fake_package;World timezone definitions, modern and historical;2021.3
False;BSD;Babel;pytz;Internationalization utilities;2.9.1
False;BSD-3-Clause;jinja2;MarkupSafe;A very fast and expressive template engine.;3.0.3
True;BSD-3-Clause;jinja2;Babel;A very fast and expressive template engine.;3.0.3
